nama_gambar,mean,median,modus
3240_38_2_12222015_20_wrp.tiff,107.31185420972707,117.0,122
3240_38_2_12222015_80_wrp.tiff,134.6449129955832,144.0,151
3245_5_5_01172020_20_wrp.tiff,80.7449147065992,86.0,88
3245_5_5_01172020_80_wrp.tiff,111.4145270065307,119.0,123
3245_5_5_02022021_20_wrp.tiff,79.82963660337012,85.0,86
3245_5_5_02022021_80_wrp.tiff,111.95331028681198,120.0,124
3245_5_5_08012017_20_wrp.tiff,33.47143184601351,34.0,34
3245_5_5_08012017_80_wrp.tiff,113.25079875878399,121.0,124
3246_5_5_01172020_20_wrp.tiff,86.478955929026,93.0,96
3246_5_5_01172020_80_wrp.tiff,120.0113096577354,129.0,132
3246_5_5_02022021_20_wrp.tiff,84.75018377458122,91.0,93
3246_5_5_02022021_80_wrp.tiff,117.58365944261918,126.0,131
3246_5_5_08012017_20_wrp.tiff,40.729889603343075,42.0,44
3246_5_5_08012017_80_wrp.tiff,116.71713772659747,125.0,130
3247_5_5_01172020_20_wrp.tiff,72.68288624822125,78.0,82
3247_5_5_01172020_80_wrp.tiff,101.5532260620598,109.0,114
3247_5_5_02022021_20_wrp.tiff,65.01355979947398,68.0,68
3247_5_5_02022021_80_wrp.tiff,94.86555306872329,101.0,106
3248_25_3_01202020_20_wrp.tiff,135.32269429976537,147.0,157
3248_25_3_01202020_80_wrp.tiff,161.93211995848307,175.0,179
3248_25_3_02082021_20_wrp.tiff,129.1490807465208,141.0,151
3248_25_3_02082021_80_wrp.tiff,157.9784912163594,170.0,176
3248_25_3_08012017_20_wrp.tiff,51.23036363756199,55.0,58
3248_25_3_08012017_80_wrp.tiff,119.78213568472637,128.0,131
3249_25_3_01202020_20_wrp.tiff,132.47978001831768,140.0,155
3249_25_3_01202020_80_wrp.tiff,157.65123869510583,167.0,255
3249_25_3_02082021_20_wrp.tiff,128.10550494351824,137.0,144
3249_25_3_02082021_80_wrp.tiff,154.94383378292412,164.0,255
3249_25_3_08012017_20_wrp.tiff,51.97369242263555,54.0,51
3249_25_3_08012017_80_wrp.tiff,64.74743544085436,67.0,71
3253_25_4_01202020_20_wrp.tiff,133.61568439244257,143.0,150
3253_25_4_01202020_80_wrp.tiff,195.59563672204158,212.0,255
3253_25_4_02082021_20_wrp.tiff,134.28208267553788,143.0,154
3253_25_4_02082021_80_wrp.tiff,193.8387666711073,210.0,255
3253_25_4_08012017_20_wrp.tiff,88.12113448869336,95.0,100
3253_25_4_08012017_80_wrp.tiff,137.68285391158477,146.0,156
3254_25_4_01202020_20_wrp.tiff,124.82539147844638,133.0,140
3254_25_4_01202020_80_wrp.tiff,189.65365914119016,205.0,255
3254_25_4_02082021_20_wrp.tiff,123.31517980468045,131.0,140
3254_25_4_02082021_80_wrp.tiff,188.4329867375014,203.0,255
3254_25_4_08012017_20_wrp.tiff,81.67977701922433,87.0,89
3254_25_4_08012017_80_wrp.tiff,131.5774092732389,140.0,154
3255_5_6_01172020_20_wrp.tiff,48.73662113459296,52.0,54
3255_5_6_01172020_80_wrp.tiff,74.88412684501715,80.0,82
3255_5_6_01282021_20_wrp.tiff,43.73740485625928,46.0,48
3255_5_6_01282021_80_wrp.tiff,72.6273699511397,76.0,78
3255_5_6_07262017_20_wrp.tiff,87.83413721643421,94.0,98
3255_5_6_07262017_80_wrp.tiff,131.61862630402425,141.0,146
