nama_gambar,mean,median,modus,mean_relative
3189_38_2_12162015_20_wrp.tiff,94.91366125728811,104.0,111,0.48673672439385324
3189_38_2_12162015_80_wrp.tiff,122.19051061037226,131.0,137,0.5091271275410963
3190_38_2_12162015_20_wrp.tiff,108.72178836387694,118.0,127,0.5080457400157425
3190_38_2_12162015_80_wrp.tiff,135.42874002346989,144.0,148,0.5310930981291717
3191_38_2_12162015_20_wrp.tiff,103.01763907341628,109.0,112,0.5074760545463488
3191_38_2_12162015_80_wrp.tiff,132.84964853895852,142.0,147,0.5209790138762257
3195_30_4_12162015_20_wrp.tiff,117.43783233166684,126.0,127,0.5592277730052744
3195_30_4_12162015_80_wrp.tiff,136.7706842357196,151.0,154,0.5427408104570511
3197_30_4_12162015_20_wrp.tiff,126.68322020993092,137.0,142,0.5784621927367692
3197_30_4_12162015_80_wrp.tiff,139.96792370537509,153.0,164,0.5576411302980775
3199_30_4_12162015_20_wrp.tiff,126.80020278393333,137.0,146,0.598114164072336
3199_30_4_12162015_80_wrp.tiff,139.75468715914067,152.0,161,0.575122169376813
3201_30_4_12162015_20_wrp.tiff,104.40252437439064,110.0,128,0.47672385558864805
3201_30_4_12162015_80_wrp.tiff,124.56735083672089,133.0,146,0.492361070498927
3236_24_4_02242021_20_wrp.tiff,88.26567242929168,92.0,92,0.47711174285845714
3236_24_4_02242021_80_wrp.tiff,112.41791382046443,117.0,115,0.5133238073970371
3237_24_4_02242021_20_wrp.tiff,88.79420358841062,94.0,96,0.4825771934126525
3237_24_4_02242021_80_wrp.tiff,110.77522692208606,116.0,116,0.5275010805788504
3240_38_2_12222015_20_wrp.tiff,107.31185420972707,117.0,122,0.5338898219362845
3240_38_2_12222015_80_wrp.tiff,134.6449129955832,144.0,151,0.5280192666472753
3245_5_5_01172020_20_wrp.tiff,80.7449147065992,86.0,88,0.4249732352956539
3245_5_5_01172020_80_wrp.tiff,111.4145270065307,119.0,123,0.5182071023535465
3245_5_5_02022021_20_wrp.tiff,79.82963660337012,85.0,86,0.4268964524221563
3245_5_5_02022021_80_wrp.tiff,111.95331028681198,120.0,124,0.49318638892651456
3245_5_5_08012017_20_wrp.tiff,33.47143184601351,34.0,34,0.19923471336794213
3245_5_5_08012017_80_wrp.tiff,113.25079875878399,121.0,124,0.4902631980878516
3246_5_5_01172020_20_wrp.tiff,86.478955929026,93.0,96,0.45756061337866905
3246_5_5_01172020_80_wrp.tiff,120.0113096577354,129.0,132,0.540591484942319
3246_5_5_02022021_20_wrp.tiff,84.75018377458122,91.0,93,0.45810910148174655
3246_5_5_02022021_80_wrp.tiff,117.58365944261918,126.0,131,0.5344711792822032
3246_5_5_08012017_20_wrp.tiff,40.729889603343075,42.0,44,0.2627734813101955
3246_5_5_08012017_80_wrp.tiff,116.71713772659747,125.0,130,0.5479677827514061
3247_5_5_01172020_20_wrp.tiff,72.68288624822125,78.0,82,0.3886785360846662
3247_5_5_01172020_80_wrp.tiff,101.5532260620598,109.0,114,0.49297682554158656
3247_5_5_02022021_20_wrp.tiff,65.01355979947398,68.0,68,0.3591909381166563
3247_5_5_02022021_80_wrp.tiff,94.86555306872329,101.0,106,0.467317995410128
3248_25_3_01202020_20_wrp.tiff,135.32269429976537,147.0,157,0.568582749156289
3248_25_3_01202020_80_wrp.tiff,161.93211995848307,175.0,179,0.6350279214033256
3248_25_3_02082021_20_wrp.tiff,129.1490807465208,141.0,151,0.5449328301517969
3248_25_3_02082021_80_wrp.tiff,157.9784912163594,170.0,176,0.6195234949636859
3248_25_3_08012017_20_wrp.tiff,51.23036363756199,55.0,58,0.30861664841718905
3248_25_3_08012017_80_wrp.tiff,119.78213568472637,128.0,131,0.4697338654284574
3249_25_3_01202020_20_wrp.tiff,132.47978001831768,140.0,155,0.5710335345592529
